# nx=151 ny=115 xmin=-7.5 xmax=7.5 ymin=-5.7141016151377544 ymax=5.7141016151377544 z=0 component=ey freq=0.26000000000000001
x,y,re,im,abs
-7.4503311258278142,-5.6644137750061221,0,0,0
-7.3509933774834435,-5.6644137750061221,0,0,0
-7.2516556291390728,-5.6644137750061221,0,0,0
-7.1523178807947021,-5.6644137750061221,0,0,0
-7.0529801324503314,-5.6644137750061221,0,0,0
-6.9536423841059598,-5.6644137750061221,0,0,0
-6.8543046357615891,-5.6644137750061221,0,0,0
-6.7549668874172184,-5.6644137750061221,0,0,0
-6.6556291390728477,-5.6644137750061221,0,0,0
-6.556291390728477,-5.6644137750061221,0,0,0
-6.4569536423841063,-5.6644137750061221,0,0,0
-6.3576158940397356,-5.6644137750061221,0,0,0
-6.258278145695364,-5.6644137750061221,0,0,0
-6.1589403973509933,-5.6644137750061221,0,0,0
-6.0596026490066226,-5.6644137750061221,0,0,0
-5.9602649006622519,-5.6644137750061221,0,0,0
-5.8609271523178812,-5.6644137750061221,0,0,0
-5.7615894039735096,-5.6644137750061221,0,0,0
-5.6622516556291389,-5.6644137750061221,0,0,0
-5.5629139072847682,-5.6644137750061221,0,0,0
-5.4635761589403975,-5.6644137750061221,0,0,0
-5.3642384105960268,-5.6644137750061221,0,0,0
-5.2649006622516552,-5.6644137750061221,0,0,0
-5.1655629139072854,-5.6644137750061221,0,0,0
-5.0662251655629138,-5.6644137750061221,0,0,0
-4.9668874172185431,-5.6644137750061221,0,0,0
-4.8675496688741724,-5.6644137750061221,0,0,0
-4.7682119205298017,-5.6644137750061221,0,0,0
-4.668874172185431,-5.6644137750061221,0,0,0
-4.5695364238410594,-5.6644137750061221,0,0,0
-4.4701986754966896,-5.6644137750061221,0,0,0
-4.370860927152318,-5.6644137750061221,0,0,0
-4.2715231788079473,-5.6644137750061221,0,0,0
-4.1721854304635766,-5.6644137750061221,0,0,0
-4.072847682119205,-5.6644137750061221,0,0,0
-3.9735099337748347,-5.6644137750061221,0,0,0
-3.8741721854304636,-5.6644137750061221,0,0,0
-3.7748344370860929,-5.6644137750061221,0,0,0
-3.6754966887417222,-5.6644137750061221,0,0,0
-3.576158940397351,-5.6644137750061221,0,0,0
-3.4768211920529808,-5.6644137750061221,0,0,0
-3.3774834437086092,-5.6644137750061221,0,0,0
-3.2781456953642385,-5.6644137750061221,0,0,0
-3.1788079470198678,-5.6644137750061221,0,0,0
-3.0794701986754971,-5.6644137750061221,0,0,0
-2.9801324503311264,-5.6644137750061221,0,0,0
-2.8807947019867557,-5.6644137750061221,0,0,0
-2.7814569536423841,-5.6644137750061221,0,0,0
-2.6821192052980134,-5.6644137750061221,0,0,0
-2.5827814569536427,-5.6644137750061221,0,0,0
-2.483443708609272,-5.6644137750061221,0,0,0
-2.3841059602649013,-5.6644137750061221,0,0,0
-2.2847682119205297,-5.6644137750061221,0,0,0
-2.185430463576159,-5.6644137750061221,0,0,0
-2.0860927152317883,-5.6644137750061221,0,0,0
-1.9867549668874176,-5.6644137750061221,0,0,0
-1.8874172185430469,-5.6644137750061221,0,0,0
-1.7880794701986762,-5.6644137750061221,0,0,0
-1.6887417218543046,-5.6644137750061221,0,0,0
-1.5894039735099339,-5.6644137750061221,0,0,0
-1.4900662251655632,-5.6644137750061221,0,0,0
-1.3907284768211925,-5.6644137750061221,0,0,0
-1.2913907284768218,-5.6644137750061221,0,0,0
-1.1920529801324511,-5.6644137750061221,0,0,0
