# dt=0.025000000000000001 sample_every_steps=10 sample_dt=0.25 start_time=75
# probe0 label=center component=ey x=0 y=0 z=0
# probe1 label=x+0.25 component=ey x=0.25 y=0 z=0
# probe2 label=y+0.25 component=ey x=0 y=0.25 z=0
t,re0,im0,re1,im1,re2,im2
75,0,0,0,0,0,0
75.25,0,0,0,0,0,0
75.5,0,0,0,0,0,0
75.75,0,0,0,0,0,0
76,0,0,0,0,0,0
76.25,0,0,0,0,0,0
76.5,0,0,0,0,0,0
76.75,0,0,0,0,0,0
77,0,0,0,0,0,0
77.25,0,0,0,0,0,0
77.5,0,0,0,0,0,0
77.75,0,0,0,0,0,0
78,0,0,0,0,0,0
78.25,0,0,0,0,0,0
78.5,0,0,0,0,0,0
78.75,0,0,0,0,0,0
79,0,0,0,0,0,0
79.25,0,0,0,0,0,0
79.5,0,0,0,0,0,0
79.75,0,0,0,0,0,0
80,0,0,0,0,0,0
80.25,0,0,0,0,0,0
80.5,0,0,0,0,0,0
80.75,0,0,0,0,0,0
81,0,0,0,0,0,0
81.25,0,0,0,0,0,0
81.5,0,0,0,0,0,0
81.75,0,0,0,0,0,0
82,0,0,0,0,0,0
82.25,0,0,0,0,0,0
82.5,0,0,0,0,0,0
82.75,0,0,0,0,0,0
83,0,0,0,0,0,0
83.25,0,0,0,0,0,0
83.5,0,0,0,0,0,0
83.75,0,0,0,0,0,0
84,0,0,0,0,0,0
84.25,0,0,0,0,0,0
84.5,0,0,0,0,0,0
84.75,0,0,0,0,0,0
85,0,0,0,0,0,0
85.25,0,0,0,0,0,0
85.5,0,0,0,0,0,0
85.75,0,0,0,0,0,0
86,0,0,0,0,0,0
86.25,0,0,0,0,0,0
86.5,0,0,0,0,0,0
86.75,0,0,0,0,0,0
87,0,0,0,0,0,0
87.25,0,0,0,0,0,0
87.5,0,0,0,0,0,0
87.75,0,0,0,0,0,0
88,0,0,0,0,0,0
88.25,0,0,0,0,0,0
88.5,0,0,0,0,0,0
88.75,0,0,0,0,0,0
89,0,0,0,0,0,0
89.25,0,0,0,0,0,0
89.5,0,0,0,0,0,0
89.75,0,0,0,0,0,0
90,0,0,0,0,0,0
90.25,0,0,0,0,0,0
90.5,0,0,0,0,0,0
90.75,0,0,0,0,0,0
91,0,0,0,0,0,0
91.25,0,0,0,0,0,0
91.5,0,0,0,0,0,0
91.75,0,0,0,0,0,0
92,0,0,0,0,0,0
92.25,0,0,0,0,0,0
92.5,0,0,0,0,0,0
92.75,0,0,0,0,0,0
93,0,0,0,0,0,0
93.25,0,0,0,0,0,0
93.5,0,0,0,0,0,0
93.75,0,0,0,0,0,0
94,0,0,0,0,0,0
94.25,0,0,0,0,0,0
94.5,0,0,0,0,0,0
94.75,0,0,0,0,0,0
95,0,0,0,0,0,0
95.25,0,0,0,0,0,0
95.5,0,0,0,0,0,0
95.75,0,0,0,0,0,0
96,0,0,0,0,0,0
96.25,0,0,0,0,0,0
96.5,0,0,0,0,0,0
96.75,0,0,0,0,0,0
97,0,0,0,0,0,0
97.25,0,0,0,0,0,0
97.5,0,0,0,0,0,0
97.75,0,0,0,0,0,0
98,0,0,0,0,0,0
98.25,0,0,0,0,0,0
98.5,0,0,0,0,0,0
98.75,0,0,0,0,0,0
99,0,0,0,0,0,0
99.25,0,0,0,0,0,0
99.5,0,0,0,0,0,0
99.75,0,0,0,0,0,0
100,0,0,0,0,0,0
100.25,0,0,0,0,0,0
100.5,0,0,0,0,0,0
100.75,0,0,0,0,0,0
101,0,0,0,0,0,0
101.25,0,0,0,0,0,0
101.5,0,0,0,0,0,0
101.75,0,0,0,0,0,0
102,0,0,0,0,0,0
102.25,0,0,0,0,0,0
102.5,0,0,0,0,0,0
102.75,0,0,0,0,0,0
103,0,0,0,0,0,0
103.25,0,0,0,0,0,0
103.5,0,0,0,0,0,0
103.75,0,0,0,0,0,0
104,0,0,0,0,0,0
104.25,0,0,0,0,0,0
104.5,0,0,0,0,0,0
104.75,0,0,0,0,0,0
105,0,0,0,0,0,0
105.25,0,0,0,0,0,0
105.5,0,0,0,0,0,0
105.75,0,0,0,0,0,0
106,0,0,0,0,0,0
106.25,0,0,0,0,0,0
106.5,0,0,0,0,0,0
106.75,0,0,0,0,0,0
107,0,0,0,0,0,0
107.25,0,0,0,0,0,0
107.5,0,0,0,0,0,0
107.75,0,0,0,0,0,0
108,0,0,0,0,0,0
108.25,0,0,0,0,0,0
108.5,0,0,0,0,0,0
108.75,0,0,0,0,0,0
109,0,0,0,0,0,0
109.25,0,0,0,0,0,0
109.5,0,0,0,0,0,0
109.75,0,0,0,0,0,0
110,0,0,0,0,0,0
110.25,0,0,0,0,0,0
110.5,0,0,0,0,0,0
110.75,0,0,0,0,0,0
111,0,0,0,0,0,0
111.25,0,0,0,0,0,0
111.5,0,0,0,0,0,0
111.75,0,0,0,0,0,0
112,0,0,0,0,0,0
112.25,0,0,0,0,0,0
112.5,0,0,0,0,0,0
112.75,0,0,0,0,0,0
113,0,0,0,0,0,0
113.25,0,0,0,0,0,0
113.5,0,0,0,0,0,0
113.75,0,0,0,0,0,0
114,0,0,0,0,0,0
114.25,0,0,0,0,0,0
114.5,0,0,0,0,0,0
114.75,0,0,0,0,0,0
115,0,0,0,0,0,0
115.25,0,0,0,0,0,0
115.5,0,0,0,0,0,0
115.75,0,0,0,0,0,0
116,0,0,0,0,0,0
116.25,0,0,0,0,0,0
116.5,0,0,0,0,0,0
116.75,0,0,0,0,0,0
117,0,0,0,0,0,0
117.25,0,0,0,0,0,0
117.5,0,0,0,0,0,0
117.75,0,0,0,0,0,0
118,0,0,0,0,0,0
118.25,0,0,0,0,0,0
118.5,0,0,0,0,0,0
118.75,0,0,0,0,0,0
119,0,0,0,0,0,0
119.25,0,0,0,0,0,0
119.5,0,0,0,0,0,0
119.75,0,0,0,0,0,0
120,0,0,0,0,0,0
120.25,0,0,0,0,0,0
120.5,0,0,0,0,0,0
120.75,0,0,0,0,0,0
121,0,0,0,0,0,0
121.25,0,0,0,0,0,0
121.5,0,0,0,0,0,0
121.75,0,0,0,0,0,0
122,0,0,0,0,0,0
122.25,0,0,0,0,0,0
122.5,0,0,0,0,0,0
122.75,0,0,0,0,0,0
123,0,0,0,0,0,0
123.25,0,0,0,0,0,0
123.5,0,0,0,0,0,0
123.75,0,0,0,0,0,0
